fold,LDA_PCA,LogReg_PCAplusRaw,MLP_PCAplusRaw
1,0.3461744877700287,0.3520006764229309,0.3018248358070405
2,0.35786763067148486,0.35804121189550614,0.28409115743300906
3,0.3731679401464151,0.375809463115777,0.25102259673780786
4,0.3736480756232023,0.36887927295051587,0.2574726514262818
5,0.469527288399131,0.4705814597887685,0.05989125181210063
