sample_index,Na,Mg,K,Ca,Li,Be,Al,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Ag,Cd,In,Cs,Ba,Hg,Tl,Pb,Bi,U
55,0.0,0.0,0.14429358955281563,0.10926692019150044,0.04189036910987693,0.0,0.10096037634645086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05593317306409997,0.0,0.0,0.031748270716884394,0.092389205674466,0.026537628689266013,0.08486237419628163,0.0,0.06246613431168613,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.10928520953675895,0.10868517156708833,0.04798378164577143,0.0,0.06494958928187901,0.0,0.037875415695906314,0.0,0.04869886843603845,0.0,0.033869581468146115,0.0,0.0,0.0,0.06108442149535374,0.0,0.0,0.0,0.0,0.0,0.10323371539055975,0.0,0.08367695014853889,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.07235402334770764,0.10512035325731314,0.04626778724283694,0.0,0.16484424985468915,0.038598694115965934,0.03926708651902505,0.0,0.02856510967244774,0.0,0.053328060510451955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07083731088519339,0.0,0.08109383612145124,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.12887382812641693,0.15040146520669206,0.047035887885741395,0.0,0.09264968380345788,0.03607091542893797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058965696435009186,0.0,0.0,0.03043301022407985,0.0,0.0,0.036194875466755615,0.0,0.08489914545692094,0.0,0.036237873565633585,0.0,0.0,0.0
69,0.0,0.0,0.025820464509645442,0.16055291747635536,0.05002396123654741,0.0,0.17111961354732427,0.0,0.027974906002338203,0.0,0.02923634548077847,0.0,0.03532550394320648,0.0,0.0,0.0,0.038081666695700185,0.0,0.0,0.0,0.0,0.0,0.0848305489027323,0.0,0.06715756646294184,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.20063176274988231,0.1476367745019237,0.0,0.05001386394173542,0.026944988005226822,0.027722380011028565,0.0,0.0,0.0,0.0,0.030884424947081636,0.0,0.0,0.0,0.06272637700105005,0.0,0.0,0.036362285656458146,0.0,0.0,0.048596770053108314,0.0,0.08688468952900529,0.0,0.0,0.0,0.0,0.0
17,0.0,0.05049270508079673,0.04945391774946362,0.10731594194294271,0.0,0.07581153198315804,0.057363945672200566,0.0,0.0,0.0,0.0771212256490204,0.0,0.0,0.0,0.0,0.0,0.07239842746449532,0.0,0.0,0.0,0.080909808510246,0.0,0.0633877291784831,0.0,0.0,0.0,0.06397445923091917,0.0,0.0,0.0
44,0.0,0.0,0.0,0.34625989076501057,0.0,0.0,0.0,0.020349494652606086,0.0,0.0,0.0,0.0,0.027595931716698777,0.0,0.020923820725915254,0.0,0.058639998448346456,0.0,0.0,0.03108548435572992,0.04727900142700104,0.0,0.033179528325206264,0.02213317059510107,0.0,0.021395608200960425,0.0,0.0,0.0,0.0
49,0.0,0.0,0.12270098995726997,0.04899516799634641,0.0,0.0,0.11790681425247326,0.032175563372468866,0.0,0.0,0.0,0.0,0.0,0.0,0.02581296695968227,0.0,0.07521684832338812,0.0,0.0,0.0,0.054658460084703174,0.0,0.0791519835622143,0.0,0.0905895512268572,0.031970214977348,0.0,0.0,0.0,0.0
21,0.036480040127221725,0.0,0.07877520532358694,0.1564220774103824,0.0,0.0,0.10168012912577487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08205944960009603,0.0,0.0,0.04548944506375873,0.06239888741415988,0.0,0.04034672719902288,0.04449172319695046,0.0,0.0,0.03820714042673886,0.0,0.0,0.0
39,0.0,0.0,0.15095687766336893,0.12963433392969373,0.0,0.02801998309427485,0.0,0.026593899903621265,0.0,0.0,0.04585603708932046,0.0,0.0,0.0,0.0,0.0,0.0786298156773129,0.0,0.0,0.05299968799919257,0.07559183935782393,0.0,0.07518921931477197,0.0,0.0,0.0,0.05514330521110264,0.0,0.0,0.0
