class_label,n_components,bic,class_name
1,1,3552.8409378876872,CKDu
1,2,-2120.5154717992336,CKDu
1,3,-2620.7384504473,CKDu
2,1,2969.009643786434,EC
2,2,1989.2449215250545,EC
2,3,1710.4560640631096,EC
3,1,-2592.765595223278,NEC
3,2,-3959.8979917320285,NEC
3,3,-3837.3151958863837,NEC
4,1,-1651.1568780341477,ECKD
4,2,-2204.5207531172045,ECKD
4,3,-2184.363166071719,ECKD
5,1,-3274.4584738325225,NECKD
5,2,-3705.7048764919336,NECKD
5,3,-3892.4553601799525,NECKD
