feature,skew,excess_kurtosis
Na,0.1538744786330679,-0.0848327838927001
Mg,1.6377222008105976,9.106364836130762
K,0.6349460269274184,0.0843918767036902
Ca,2.557998120678621,6.388414469958189
Li,3.810014759077427,27.541912493937158
Be,10.243121789596985,114.93978890094381
Al,1.290196967494315,4.2817535049101005
V,2.0840309802353305,4.231119457199497
Cr,7.105539330190988,62.16878745964466
Mn,8.12809315806849,67.87966323733055
Fe,6.092464695601371,48.76074702404629
Co,14.685738017401313,240.5307979699432
Ni,8.213502026877688,75.99188236333134
Cu,6.621813983370816,52.067730098963736
Zn,2.538968800579336,6.315732321445637
Ga,5.4594219123668335,33.77612616235168
As,7.758784815560364,66.00603802003806
Se,6.713531232656051,52.76244042364108
Rb,2.9260297897000966,8.866884204701396
Sr,2.780116534672154,7.608190611885835
Ag,3.265643477396697,12.63904093105009
Cd,7.5324408746734575,58.77868495370251
In,3.461628658290142,14.015670649548138
Cs,18.137201282578463,339.3946957333631
Ba,2.376126130643061,9.08763054113774
Hg,1.5600158103311916,2.1219717651144823
Tl,8.925854402674142,80.61584480080046
Pb,3.4456971163151793,14.448715199012831
Bi,12.82762597139405,202.11889529444454
U,8.73438870162431,76.759854661502
