,Na,Mg,K,Ca,Li,Be,Al,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Ag,Cd,In,Cs,Ba,Hg,Tl,Pb,Bi,U
CKDu,-0.6725665922733858,0.5973957683299077,-1.1768126546448419,-1.1135647186204694,0.12988564518533804,0.0381080713673951,-0.6566999209235754,-0.5158969727972649,-0.22715886805914487,0.10537092242246687,-0.3634257184995689,0.05569768347917955,-0.365864274194834,0.0002414085328315336,-0.012615761312136521,-0.07035986719512295,1.0824570119998826,0.1343240173891555,0.004211486608193343,-0.414620566588386,1.2301374264957115,-0.2078864640217933,-0.5373556353959589,0.016160239485796195,1.1642749520030293,0.0377509064762534,0.18152573201517966,0.22754292980797025,-0.15580144424919107,0.1372068280976222
EC,0.3449730963453755,0.018028711903908364,-0.17970667780213587,0.41711379326598097,0.2767569392590268,0.028539129162397772,-0.3007384843851015,1.1310787849483814,0.3221631368857665,-0.113647340620791,0.37212475129950795,-0.051830564381717306,0.2615834913948575,0.10886351784063113,0.826196274888762,0.26948838538465697,-0.10014594937376188,0.07848761916137688,0.3100259109305692,0.5212765090207286,0.2162107339311637,-0.08351042777449492,0.08263787553595084,-0.007177770119378754,0.8853053056781004,-0.27132017835142647,-0.12793111851291172,0.3319673834571834,0.49519932482793844,-0.13258013453557121
NEC,-1.4574370139503616,0.22276746218296292,0.9285023686992914,0.8856810580459026,-0.14440183498270362,-0.688134760871957,0.01210525728293968,0.23976952790069536,0.2904124348639146,0.04177112330225024,0.2159011120884374,0.1488927713482425,0.10327384701554938,0.08241475595898817,-0.40452249976859556,0.06407007557745609,-0.855552285326849,-0.0327051095363028,-0.1541946751249747,-0.3741578114869925,-1.0227801915830508,0.40723278776715083,0.5358254031686565,0.0004702795630389224,-1.012249957730818,0.27450631794339253,0.046011115980748196,0.2874090213847839,-0.01137140698731293,0.0029156238335653357
ECKD,1.6574646304189746,-0.10714734763946598,-0.4193958040992714,-0.3832033280278721,0.12864918921644117,0.5965237658670995,0.4960082530461123,-0.5037513522145437,0.19918433871648675,0.12978332759583758,0.07287686828066779,0.09358373649432397,0.6301087691662828,-0.5178256376588644,-0.35882383332710066,-0.22140072549765172,-0.2816263624318184,-0.3043332048435732,-0.31302397660978915,0.021898997960244238,0.12313064244199323,0.11430374895257381,-0.14471395700355422,-0.004429504878820037,-0.7893742298736888,-1.7074584180497414,-0.05854357233980497,-1.3148040544929906,-0.5572262660265679,-0.0022105900202918495
NECKD,0.12756587945939654,-0.7310445947773144,0.8474127678469576,0.19397319533645904,-0.3908899386781017,0.024963794475064232,0.44932489497962524,-0.3511999878372666,-0.5846010424070242,-0.16327803269976315,-0.297477013169045,-0.24634362694002795,-0.629101833381857,0.32630595532641465,-0.050234180480928876,-0.04179786826933785,0.15486758513254806,0.1242266778293448,0.1529812541960028,0.24560287109440707,-0.5466986112858155,-0.23013964492343544,0.0636063136949076,-0.005023244050635445,-0.24795607007662235,1.6665213719815222,-0.041062157143210154,0.46788471984305274,0.2291997924351342,-0.00533172737532367
