feature,coef_ckdu,abs_coef
Ag,1.2301374264957115,1.2301374264957115
K,-1.1768126546448419,1.1768126546448419
Ba,1.1642749520030293,1.1642749520030293
Ca,-1.1135647186204694,1.1135647186204694
As,1.0824570119998826,1.0824570119998826
Na,-0.6725665922733858,0.6725665922733858
Al,-0.6566999209235754,0.6566999209235754
Mg,0.5973957683299077,0.5973957683299077
In,-0.5373556353959589,0.5373556353959589
V,-0.5158969727972649,0.5158969727972649
Sr,-0.414620566588386,0.414620566588386
Ni,-0.365864274194834,0.365864274194834
Fe,-0.3634257184995689,0.3634257184995689
Pb,0.22754292980797025,0.22754292980797025
Cr,-0.22715886805914487,0.22715886805914487
Cd,-0.2078864640217933,0.2078864640217933
Tl,0.18152573201517966,0.18152573201517966
Bi,-0.15580144424919107,0.15580144424919107
U,0.1372068280976222,0.1372068280976222
Se,0.1343240173891555,0.1343240173891555
Li,0.12988564518533804,0.12988564518533804
Mn,0.10537092242246687,0.10537092242246687
Ga,-0.07035986719512295,0.07035986719512295
Co,0.05569768347917955,0.05569768347917955
Be,0.0381080713673951,0.0381080713673951
Hg,0.0377509064762534,0.0377509064762534
Cs,0.016160239485796195,0.016160239485796195
Zn,-0.012615761312136521,0.012615761312136521
Rb,0.004211486608193343,0.004211486608193343
Cu,0.0002414085328315336,0.0002414085328315336
