feature,perm_importance_mean,perm_importance_std
Ca,0.0976467817078244,0.04477622525236683
Hg,0.09037139302734155,0.03162354236155079
V,0.06591099137407717,0.01734888764812938
Sr,0.06021263097612972,0.03462214670245339
Ba,0.0528895438219922,0.014854756182323759
K,0.037892353790214,0.02089498214453794
Al,0.008081399973459445,0.03487358179656955
In,-0.008321032730465316,0.03407838948046356
