feature,coef_mean,coef_std,abs_coef_mean,abs_coef_std
V,1.8763329788675942,0.15547282599235276,1.8763329788675942,0.15547282599235276
Ba,1.7859376246808978,0.15618721816558984,1.7859376246808978,0.15618721816558984
Sr,-1.7173582790259794,0.09118133430623745,1.7173582790259794,0.09118133430623745
K,-1.0389550931669567,0.16849471795632917,1.0389550931669567,0.16849471795632917
Al,-0.8020143335742969,0.16179889829581778,0.8020143335742969,0.16179889829581778
Ca,-0.6862172026566276,0.22653765936937187,0.6862172026566276,0.22653765936937187
Hg,0.6542860745578477,0.11744303497327083,0.6542860745578477,0.11744303497327083
In,-0.653630893463952,0.12265766140339202,0.653630893463952,0.12265766140339202
